index,sample,etchlevel,etchtime,element,species,spin,expected_eV,fitted_eV,fitted_stderr,delta_eV
5,ReTa03,5,50.064,Re4f,Re metal,5/2,42.77,43.093010477929255,0.01037687436529131,0.32301047792925175
5,ReTa03,5,50.064,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.3539927302525353,-0.3999999999999986
5,ReTa03,5,50.064,Re4f,ReO2 (Re4+),5/2,44.62,44.23531959895017,0.35299900665430584,-0.3846804010498275
5,ReTa03,5,50.064,Re4f,ReO3 (Re6+),7/2,43.1,43.15350498359803,1.274139494208775,0.053504983598031686
5,ReTa03,5,50.064,Re4f,ReO3 (Re6+),5/2,45.52,45.5888245825482,1.2730063258391238,0.06882458254819568
5,ReTa03,5,50.064,Re4f,Re2O7 (Re7+),7/2,45.5,46.699999999999996,0.3916149695927153,1.1999999999999957
5,ReTa03,5,50.064,Re4f,Re2O7 (Re7+),5/2,47.92,49.13531959895016,0.3914025958730686,1.2153195989501597
6,ReTa03,6,60.077,Re4f,Re metal,7/2,40.35,40.65817013360589,0.008910960173493515,0.3081701336058913
6,ReTa03,6,60.077,Re4f,Re metal,5/2,42.77,43.09350855258077,0.010385321720390871,0.32350855258076905
6,ReTa03,6,60.077,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.3619311255240597,-0.3999999999999986
6,ReTa03,6,60.077,Re4f,ReO2 (Re4+),5/2,44.62,44.235338418974884,0.360812607725459,-0.3846615810251137
6,ReTa03,6,60.077,Re4f,ReO3 (Re6+),7/2,43.1,43.139808125452326,1.2583660411668736,0.039808125452324816
6,ReTa03,6,60.077,Re4f,ReO3 (Re6+),5/2,45.52,45.575146544427206,1.2570968418451272,0.05514654442720257
6,ReTa03,6,60.077,Re4f,Re2O7 (Re7+),7/2,45.5,46.699999999999996,0.3930950241192681,1.1999999999999957
6,ReTa03,6,60.077,Re4f,Re2O7 (Re7+),5/2,47.92,49.135338418974875,0.3929223436042876,1.2153384189748735
7,ReTa03,7,70.09,Re4f,Re metal,7/2,40.35,40.655043085299376,0.009165992545454233,0.3050430852993742
7,ReTa03,7,70.09,Re4f,Re metal,5/2,42.77,43.090514163756815,0.010612674994051639,0.32051416375681185
7,ReTa03,7,70.09,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.3669987653195297,-0.3999999999999986
7,ReTa03,7,70.09,Re4f,ReO2 (Re4+),5/2,44.62,44.235471078457444,0.3659947095736004,-0.3845289215425538
7,ReTa03,7,70.09,Re4f,ReO3 (Re6+),7/2,43.1,43.1467675299138,1.308596807187196,0.04676752991380084
7,ReTa03,7,70.09,Re4f,ReO3 (Re6+),5/2,45.52,45.58223860837124,1.3074400692394887,0.06223860837123851
7,ReTa03,7,70.09,Re4f,Re2O7 (Re7+),7/2,45.5,46.699999999999996,0.38922929604735546,1.1999999999999957
7,ReTa03,7,70.09,Re4f,Re2O7 (Re7+),5/2,47.92,49.135471078457435,0.38900465629267117,1.2154710784574334
8,ReTa03,8,80.103,Re4f,Re metal,7/2,40.35,40.654279338595465,0.008725669404858059,0.30427933859546386
8,ReTa03,8,80.103,Re4f,Re metal,5/2,42.77,43.088515032718945,0.010113642702384844,0.3185150327189419
8,ReTa03,8,80.103,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.3410977337227602,-0.3999999999999986
8,ReTa03,8,80.103,Re4f,ReO2 (Re4+),5/2,44.62,44.234235694123484,0.340154950500567,-0.38576430587651345
8,ReTa03,8,80.103,Re4f,ReO3 (Re6+),7/2,43.1,43.15634162653765,1.203379253440973,0.056341626537651734
8,ReTa03,8,80.103,Re4f,ReO3 (Re6+),5/2,45.52,45.59057732066113,1.202292463960912,0.07057732066112976
8,ReTa03,8,80.103,Re4f,Re2O7 (Re7+),7/2,45.5,46.699999999999996,0.39370784911129086,1.1999999999999957
