sample,group,element,species,spin,expected_eV,fitted_eV,stderr_eV,delta_eV,etchlevel,etchtime,depth_order
ReTa03,Unknown,Ta4f,Ta+1,5/2,24.6,24.651221824775305,0.010417636652579729,0.051221824775304015,4.0,40.051,5
ReTa03,Unknown,Ta4f,Ta+1,5/2,24.6,24.651542058743324,0.010550897878118875,0.05154205874332263,5.0,50.064,6
ReTa03,Unknown,Ta4f,Ta+1,5/2,24.6,24.645676951586147,0.010444924852753158,0.045676951586145265,6.0,60.077,7
ReTa03,Unknown,Ta4f,Ta+1,5/2,24.6,24.642575329544187,0.010298222681203553,0.04257532954418508,7.0,70.09,8
ReTa03,Unknown,Ta4f,Ta+1,5/2,24.6,24.643313182111555,0.010358036441563386,0.04331318211155377,8.0,80.103,9
ReTa03,Unknown,Ta4f,Ta+1,5/2,24.6,24.63594574369958,0.013121300722478134,0.03594574369957826,9.0,90.115,10
ReTa03,Unknown,Ta4f,Ta+1,7/2,22.7,22.89999999999995,3.100391342981826e-07,0.19999999999994955,,,0
ReTa03,Unknown,Ta4f,Ta+1,7/2,22.7,22.899999999999967,2.2988646911102204e-07,0.19999999999996732,0.0,0.0,1
ReTa03,Unknown,Ta4f,Ta+1,7/2,22.7,22.73814579191749,0.01008800746646046,0.0381457919174899,1.0,10.013,2
ReTa03,Unknown,Ta4f,Ta+1,7/2,22.7,22.714393488006845,0.008413770361984912,0.0143934880068457,2.0,20.026,3
ReTa03,Unknown,Ta4f,Ta+1,7/2,22.7,22.710999729969522,0.008279905619153052,0.010999729969523031,3.0,30.038,4
ReTa03,Unknown,Ta4f,Ta+1,7/2,22.7,22.7041820581154,0.008272939292228016,0.004182058115400622,4.0,40.051,5
ReTa03,Unknown,Ta4f,Ta+1,7/2,22.7,22.70550410874998,0.008306219879712912,0.00550410874998164,5.0,50.064,6
ReTa03,Unknown,Ta4f,Ta+1,7/2,22.7,22.699239542528225,0.008265382694929805,-0.0007604574717738899,6.0,60.077,7
ReTa03,Unknown,Ta4f,Ta+1,7/2,22.7,22.699105152947066,0.008160216422933516,-0.0008948470529333008,7.0,70.09,8
ReTa03,Unknown,Ta4f,Ta+1,7/2,22.7,22.69677994210616,0.008163910489186214,-0.0032200578938379465,8.0,80.103,9
ReTa03,Unknown,Ta4f,Ta+1,7/2,22.7,22.68448712662823,0.012805770862581943,-0.015512873371768876,9.0,90.115,10
ReTa03,Unknown,Ta4f,Ta+3,5/2,26.1,26.945200643588247,0.1150840389872189,0.845200643588246,,,0
ReTa03,Unknown,Ta4f,Ta+3,5/2,26.1,26.959116637883564,0.12679154516778982,0.8591166378835631,0.0,0.0,1
ReTa03,Unknown,Ta4f,Ta+3,5/2,26.1,26.258056902803084,0.011599511596376403,0.15805690280308227,1.0,10.013,2
ReTa03,Unknown,Ta4f,Ta+3,5/2,26.1,26.253071458807298,0.009750978714890899,0.15307145880729678,2.0,20.026,3
ReTa03,Unknown,Ta4f,Ta+3,5/2,26.1,26.2479676567142,0.009404506927433689,0.1479676567141972,3.0,30.038,4
ReTa03,Unknown,Ta4f,Ta+3,5/2,26.1,26.247039766659906,0.009108026271393602,0.1470397666599048,4.0,40.051,5
ReTa03,Unknown,Ta4f,Ta+3,5/2,26.1,26.246037949993337,0.009211339531446537,0.1460379499933353,5.0,50.064,6
ReTa03,Unknown,Ta4f,Ta+3,5/2,26.1,26.24643740905792,0.009102542678453701,0.14643740905791702,6.0,60.077,7
ReTa03,Unknown,Ta4f,Ta+3,5/2,26.1,26.24347017659712,0.009020387325537846,0.1434701765971198,7.0,70.09,8
ReTa03,Unknown,Ta4f,Ta+3,5/2,26.1,26.24653324000539,0.009025671505080036,0.1465332400053896,8.0,80.103,9
ReTa03,Unknown,Ta4f,Ta+3,5/2,26.1,25.47827187168952,0.04437542433425972,-0.6217281283104832,9.0,90.115,10
ReTa03,Unknown,Ta4f,Ta+3,7/2,24.2,23.94520064358825,0.11508403880411337,-0.25479935641174833,,,0
ReTa03,Unknown,Ta4f,Ta+3,7/2,24.2,23.959116637883564,0.12679154485329783,-0.2408833621164348,0.0,0.0,1
ReTa03,Unknown,Ta4f,Ta+3,7/2,24.2,24.29999999999999,2.6162270571481075e-08,0.09999999999999076,1.0,10.013,2
ReTa03,Unknown,Ta4f,Ta+3,7/2,24.2,24.3,3.909171139886469e-09,0.10000000000000142,2.0,20.026,3
ReTa03,Unknown,Ta4f,Ta+3,7/2,24.2,24.299999999999994,2.0968016980733486e-08,0.09999999999999432,3.0,30.038,4
ReTa03,Unknown,Ta4f,Ta+3,7/2,24.2,24.3,4.6386589725399536e-09,0.10000000000000142,4.0,40.051,5
ReTa03,Unknown,Ta4f,Ta+3,7/2,24.2,24.299999999999994,3.1911308332954516e-08,0.09999999999999432,5.0,50.064,6
ReTa03,Unknown,Ta4f,Ta+3,7/2,24.2,24.299999999999994,3.168791775124739e-08,0.09999999999999432,6.0,60.077,7
ReTa03,Unknown,Ta4f,Ta+3,7/2,24.2,24.3,1.0607971318058457e-08,0.10000000000000142,7.0,70.09,8
ReTa03,Unknown,Ta4f,Ta+3,7/2,24.2,24.299999999999997,2.3606583061654172e-08,0.09999999999999787,8.0,80.103,9
ReTa03,Unknown,Ta4f,Ta+3,7/2,24.2,23.52681325461817,0.04512676162736265,-0.6731867453818303,9.0,90.115,10
ReTa03,Unknown,Ta4f,Ta+5 (Ta2O5),5/2,28.7,30.999999999999993,1.325189351423489e-08,2.2999999999999936,,,0
ReTa03,Unknown,Ta4f,Ta+5 (Ta2O5),5/2,28.7,31.0,2.732203692260683e-09,2.3000000000000007,0.0,0.0,1
