sample,group,element,species,spin,expected_eV,fitted_eV,stderr_eV,delta_eV
Control_WK3,Control,Re4f,Re metal,5/2,42.77,42.87149818023319,0.02795907929981783,0.10149818023318602
Control_WK3,Control,Re4f,Redp1 (Reδ+1),7/2,40.57,40.66915287969253,0.0280010060067618,0.09915287969253228
Control_WK3,Control,Re4f,Redp1 (Reδ+1),5/2,42.99,43.09149818023319,0.02795907929981783,0.10149818023318602
Control_WK3,Control,Re4f,Redp2 (Reδ+2),7/2,40.8,40.89915287969254,0.0280010060067618,0.09915287969253939
Control_WK3,Control,Re4f,Redp2 (Reδ+2),5/2,43.22,43.32149818023319,0.02795907929981783,0.10149818023319312
Control_WK3,Control,Re4f,Redp3 (Reδ+3),7/2,41.08,41.17915287969253,0.0280010060067618,0.09915287969253228
Control_WK3,Control,Re4f,Redp3 (Reδ+3),5/2,43.5,43.601498180233186,0.02795907929981783,0.10149818023318602
Control_WK3,Control,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.05210656859403053,-0.3999999999999986
Control_WK3,Control,Re4f,ReO2 (Re4+),5/2,44.62,44.22234530054066,0.05133126804040811,-0.39765469945933773
Control_WK3,Control,Re4f,ReO3 (Re6+),7/2,43.1,42.983710925234305,0.11204719194584678,-0.11628907476569594
Control_WK3,Control,Re4f,ReO3 (Re6+),5/2,45.52,45.40605622577496,0.11109442681741534,-0.1139437742250422
Control_WK3,Control,Re4f,Re2O7 (Re7+),7/2,45.5,45.9609646783539,0.01733568459336937,0.4609646783539034
Control_WK3,Control,Re4f,Re2O7 (Re7+),5/2,47.92,48.38330997889456,0.017671886333669565,0.46330997889455716
